Title,Region,Suburb,BodyStyle,Year,Odometer,Fuel,Transmission,EngineSize,Cylinders,Seats,ExteriorColour,Model,ModelDetail,Make,Price,LogPrice
"2022 Toyota Hilux 2.8TD, 4WD, SR5",Auckland,Auckland,Ute,2022,45000,Diesel,Automatic,2755.0,0,5,Black,Hilux,"2.8TD, 4WD, SR5",Toyota,57999,10.968181048000611
"2020 Toyota Prius Touring, Radar Cruise,heated...",Auckland,Auckland,Hatchback,2020,79383,Hybrid,Automatic,1797.0,0,5,Silver,Prius,"Touring, Radar Cruise,heated leather",Toyota,22950,10.04107321548869
2025 Toyota RAV4 GXL 2.5P HV ECVT AWD SUV/5D/5S...,Marlborough,Marlborough,RV/SUV,2025,30,Hybrid,Automatic,2487.0,0,5,Frosted White,RAV4,GXL 2.5P HV ECVT AWD SUV/5D/5S EX DEMO,Toyota,50995,10.839482867684618
2016 Toyota Highlander GXL -,Otago,,Station Wagon,2016,144647,Petrol,Automatic,3456.0,0,7,Gold,Highlander,GXL -,Toyota,29995,10.308785980087194
2023 Toyota Hilux SR5 2.8DT 6AT 4WD -,Otago,,Ute,2023,23086,Diesel,Automatic,2755.0,0,5,Graphite,Hilux,SR5 2.8DT 6AT 4WD -,Toyota,57995,10.968112078915977
2017 Toyota Highlander GXL 3.5P/4WD/8AT/NZ NEW,Auckland,Auckland,RV/SUV,2017,194520,Petrol,Automatic,3456.0,0,7,Grey,Highlander,GXL 3.5P/4WD/8AT/NZ NEW,Toyota,31995,10.37333491957356
2012 Toyota 86 RWD - LOW KMS!,Auckland,Auckland,Coupe,2012,85000,Petrol,Automatic,1997.0,0,0,Silver,86,RWD - LOW KMS!,Toyota,23995,10.085600754292345
2018 Toyota Aqua S pack.Rear camera.Button star...,Auckland,Auckland,Hatchback,2018,82000,Hybrid,Automatic,1500.0,0,5,Black,Aqua,S pack.Rear camera.Button start.Alloys.,Toyota,13900,9.539644119118783
2019 Toyota RAV4 GXL 2.5PH 4WD NZ NEW,Auckland,Auckland,Station Wagon,2019,32438,Hybrid,Automatic,2487.0,0,5,Grey,RAV4,GXL 2.5PH 4WD NZ NEW,Toyota,36990,10.5184028848265
2015 Toyota Highlander GXL 3.5P 4WD 7 SEATER,Auckland,Auckland,Station Wagon,2015,164909,Petrol,Automatic,3456.0,0,7,White,Highlander,GXL 3.5P 4WD 7 SEATER,Toyota,25990,10.165467127635536
2020 Toyota Hiace ZL 3.0TD - NZ New,Auckland,Auckland,Van,2020,123248,Diesel,Automatic,2982.0,0,2,Silver,Hiace,ZL 3.0TD - NZ New,Toyota,33999,10.434086391401058
"2015 Toyota Hilux SR5, 4X4, 3.0L DIESEL, CANOPY",Auckland,,Ute,2015,309578,Diesel,Automatic,2982.0,0,5,White,Hilux,"SR5, 4X4, 3.0L DIESEL, CANOPY",Toyota,23990,10.08539235583374
2021 Toyota Corolla Touring,Canterbury,Christchurch,Station Wagon,2021,88786,Hybrid,Automatic,1797.0,0,5,White,Corolla,Touring,Toyota,32950,10.402746539930654
"2022 Toyota Corolla GX PETROL, Hatchback",Canterbury,Christchurch,Hatchback,2022,52571,Petrol,Automatic,1987.0,0,5,Silver,Corolla,"GX PETROL, Hatchback",Toyota,26950,10.201738576337144
2019 Toyota Prius 1.8L Phev Plug In Hybrid,Auckland,Auckland,Sedan,2019,63070,Plug-in hybrid,Automatic,1797.0,0,4,Red,Prius,1.8L Phev Plug In Hybrid,Toyota,18995,9.851931065621725
"2022 Toyota Corolla GX HYBRID, Hatchback",Canterbury,Christchurch,Hatchback,2022,61677,Hybrid,Automatic,1798.0,0,5,White,Corolla,"GX HYBRID, Hatchback",Toyota,29950,10.307284603543595
2023 Toyota RAV4 GX 2.0L Petrol CVT,Canterbury,Christchurch,RV/SUV,2023,11250,Petrol,Automatic,1986.0,0,5,Silver,RAV4,GX 2.0L Petrol CVT,Toyota,38990,10.571060481976643
2017 Toyota C-HR 1.8G Bodykit Hybrid 3YearWarra...,Canterbury,Christchurch,RV/SUV,2017,81800,Hybrid,Automatic,1800.0,0,5,Black,C-HR,1.8G Bodykit Hybrid 3YearWarrantyFree,Toyota,24950,10.124629101179664
2019 Toyota Corolla Sport 1.8L Hybrid,Canterbury,Christchurch,Hatchback,2019,34800,Hybrid,Automatic,1797.0,0,5,White,Corolla,Sport 1.8L Hybrid,Toyota,30990,10.341419850781794
2019 Toyota Vellfire 2.5lt 4WD 'Z' 8-Seater,Canterbury,Christchurch,Van,2019,122514,Petrol,Tiptronic,2500.0,0,8,Black,Vellfire,2.5lt 4WD 'Z' 8-Seater,Toyota,36990,10.5184028848265
2017 Toyota C-HR HYBRID S,Auckland,Auckland,RV/SUV,2017,104454,Hybrid,Automatic,1797.0,0,5,Black,C-HR,HYBRID S,Toyota,19985,9.902737271145424
2014 Toyota Prius 1.8L Petrol Hybrid,Canterbury,Christchurch,Hatchback,2014,129500,Hybrid,Automatic,1800.0,0,5,White,Prius,1.8L Petrol Hybrid,Toyota,10988,9.304559047215164
2017 Toyota Hiace Minibus 3.0 Diesel Turbo 4AT...,Waikato,Hamilton,Van,2017,196204,Diesel,Automatic,2982.0,0,12,White,Hiace,Minibus 3.0 Diesel Turbo 4AT 12 Seater Van,Toyota,41990,10.645186773678239
